"id","Moves_identifier","identifier","power","pp","accuracy","priority","Move_targets_identifier","Move_damage_classes_identifier","short_effect","effect","effect_chance","Move_meta_categories_identifier","Move_meta_ailments_identifier","min_hits","max_hits","min_turns","max_turns","drain","healing","crit_rate","ailment_chance","flinch_chance","stat_chance","flavor_text","stat_id","effectivity","flags","change"
31,"fury-attack","normal","15",20,"85",0,"selected-pokemon","physical","Hits 2-5 times in one turn.","Inflicts [regular damage]{mechanic:regular-damage}.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,"damage","none","2","5",,,0,0,0,0,0,0,"The target is jabbed repeatedly with a
horn or beak two to five times in a row.",,,,
32,"horn-drill","normal",,5,"30",0,"selected-pokemon","physical","Causes a one-hit KO.","Inflicts damage equal to the target's max [HP]{mechanic:hp}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  This move's [accuracy]{mechanic:accuracy} is 30% plus 1% for each level the user is higher than the target.  If",,"ohko","none",,,,,0,0,0,0,0,0,"The user stabs the target with a horn
that rotates like a drill. The target
faints instantly if this attack hits.",,,,
33,"tackle","normal","50",35,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"A physical attack in which the user
charges and slams into the target
with its whole body.",,,,
34,"body-slam","normal","85",15,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [paralyze]{mechanic:paralyze} the target.","30","damage+ailment","paralysis",,,,,0,0,0,30,0,0,"The user drops onto the target
with its full body weight. This may also
leave the target with paralysis.",,,,
35,"wrap","normal","15",20,"90",0,"selected-pokemon","physical","Prevents the target from fleeing and inflicts damage for 2-5 turns.","Inflicts [regular damage]{mechanic:regular-damage}.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the [","100","damage+ailment","trap",,,"5","6",0,0,0,100,0,0,"A long body or vines are used to wrap and
squeeze the target for four to five turns.",,,,
36,"take-down","normal","90",20,"85",0,"selected-pokemon","physical","User receives 1/4 the damage it inflicts in recoil.","Inflicts [regular damage]{mechanic:regular-damage}.  User takes 1/4 the damage it inflicts in recoil.",,"damage","none",,,,,-25,0,0,0,0,0,"A reckless, full-body charge attack for
slamming into the target.
This also damages the user a little.",,,,
37,"thrash","normal","120",10,"100",0,"random-opponent","physical","Hits every turn for 2-3 turns, then confuses the user.","Inflicts [regular damage]{mechanic:regular-damage}.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes [confused]{mechanic:confused}.

[]{move:safeguard} does not protect against the [confu",,"damage","none",,,,,0,0,0,0,0,0,"The user rampages and attacks
for two to three turns.
The user then becomes confused.",,,,
38,"double-edge","normal","120",15,"100",0,"selected-pokemon","physical","User receives 1/3 the damage inflicted in recoil.","Inflicts [regular damage]{mechanic:regular-damage}.  User takes 1/3 the damage it inflicts in recoil.",,"damage","none",,,,,-33,0,0,0,0,0,"A reckless, life-risking tackle.
This also damages the user
quite a lot.",,,,
39,"tail-whip","normal",,30,"100",0,"all-opponents","status","Lowers the target's Defense by one stage.","Lowers the target's [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.",,"net-good-stats","none",,,,,0,0,0,0,0,0,"The user wags its tail cutely, making
opposing Pokémon less wary and
lowering their Defense stat.","3",,,"-1"
40,"poison-sting","poison","15",35,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to [poison]{mechanic:poison} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [poison]{mechanic:poison} the target.","30","damage+ailment","poison",,,,,0,0,0,30,0,0,"The user stabs the target
with a poisonous stinger.
This may also poison the target.",,,,
41,"twineedle","bug","25",20,"100",0,"selected-pokemon","physical","Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Hits twice in the same turn.  Has a $effect_chance% chance to [poison]{mechanic:poison} the target.","20","damage+ailment","poison","2","2",,,0,0,0,20,0,0,"The user damages the target twice in
succession by jabbing it with two spikes.
This may also poison the target.",,,,
42,"pin-missile","bug","25",20,"95",0,"selected-pokemon","physical","Hits 2-5 times in one turn.","Inflicts [regular damage]{mechanic:regular-damage}.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,"damage","none","2","5",,,0,0,0,0,0,0,"Sharp spikes are shot at the target
in rapid succession.
They hit two to five times in a row.",,,,
43,"leer","normal",,30,"100",0,"all-opponents","status","Lowers the target's Defense by one stage.","Lowers the target's [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.","100","net-good-stats","none",,,,,0,0,0,0,0,100,"The user gives opposing Pokémon
an intimidating leer that lowers the Defense stat.","3",,,"-1"
44,"bite","dark","60",25,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to make the target flinch.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to make the target []{mechanic:flinch}.","30","damage","none",,,,,0,0,0,0,30,0,"The target is bitten
with viciously sharp fangs.
This may also make the target flinch.",,,,
45,"growl","normal",,40,"100",0,"all-opponents","status","Lowers the target's Attack by one stage.","Lowers the target's [Attack]{mechanic:attack} by one [stage]{mechanic:stage}.",,"net-good-stats","none",,,,,0,0,0,0,0,0,"The user growls in an endearing way,
making opposing Pokémon less wary.
This lowers their Attack stats.","2",,,"-1"
46,"roar","normal",,20,,-6,"selected-pokemon","status","Immediately ends wild battles.  Forces trainers to switch Pokémon.","[Switch]{mechanic:switch}es the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with []{ability:suction-cups} or under the effect of []{move:ingrain}.",,"force-switch","none",,,,,0,0,0,0,0,0,"The target is scared off, and a different
Pokémon is dragged out. In the wild,
this ends a battle against a single Pokémon.",,,,
47,"sing","normal",,15,"55",0,"selected-pokemon","status","Puts the target to sleep.","Puts the target to [sleep]{mechanic:sleep}.",,"ailment","sleep",,,"2","4",0,0,0,0,0,0,"A soothing lullaby is sung in a calming
voice that puts the target into a
deep slumber.",,,,
48,"supersonic","normal",,20,"55",0,"selected-pokemon","status","Confuses the target.","[Confuse]{mechanic:confuse}s the target.",,"ailment","confusion",,,"2","5",0,0,0,0,0,0,"The user generates odd sound waves from
its body that confuse the target.",,,,
49,"sonic-boom","normal",,20,"90",0,"selected-pokemon","special","Inflicts 20 points of damage.","Inflicts exactly 20 damage.",,"damage","none",,,,,0,0,0,0,0,0,"The target is hit with a destructive shock
wave that always inflicts 20 HP damage.",,,,
50,"disable","normal",,20,"100",0,"selected-pokemon","status","Disables the target's last used move for 1-8 turns.","Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the [field]{mechanic:field}.  If the target hasn't used a move since entering the [field]{mechanic:field}, if it tried to use a move t",,"unique","disable",,,"4","4",0,0,0,0,0,0,"For four turns, this move prevents the
target from using the move it last used.",,,,
51,"acid","poison","40",30,"100",0,"all-opponents","special","Has a $effect_chance% chance to lower the target's Special Defense by one stage.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to lower the target's [Special Defense]{mechanic:special-defense} by one [stage]{mechanic:stage}.","10","damage+lower","none",,,,,0,0,0,0,0,10,"The opposing Pokémon are attacked
with a spray of harsh acid. This may
also lower their Sp. Def stats.","5",,,"-1"
52,"ember","fire","40",25,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to [burn]{mechanic:burn} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn} the target.","10","damage+ailment","burn",,,,,0,0,0,10,0,0,"The target is attacked with small flames.
This may also leave the target with a burn.",,,,
53,"flamethrower","fire","90",15,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to [burn]{mechanic:burn} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn} the target.","10","damage+ailment","burn",,,,,0,0,0,10,0,0,"The target is scorched with an intense
blast of fire. This may also leave the target
with a burn.",,,,
54,"mist","ice",,30,,0,"users-field","status","Protects the user's stats from being changed by enemy moves.","Pokémon on the user's side of the [field]{mechanic:field} are immune to stat-lowering effects for five turns.

[]{move:guard-swap}, []{move:heart-swap}, and []{move:power-swap} may still be used.

[]{move:defog} used by an opponent will end this effe",,"field-effect","none",,,,,0,0,0,0,0,0,"The user cloaks itself and its allies in a
white mist that prevents any of their stats
from being lowered for five turns.",,,,
55,"water-gun","water","40",25,"100",0,"selected-pokemon","special","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is blasted with a
forceful shot of water.",,,,
56,"hydro-pump","water","110",5,"80",0,"selected-pokemon","special","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is blasted by a huge volume
of water launched under great pressure.",,,,
57,"surf","water","90",15,"100",0,"all-other-pokemon","special","Inflicts regular damage and can hit Dive users.","Inflicts [regular damage]{mechanic:regular-damage}.

If the target is in the first turn of []{move:dive}, this move will hit with double power.",,"damage","none",,,,,0,0,0,0,0,0,"The user attacks everything around it by
swamping its surroundings with a giant wave.
This can also be used for crossing water.",,,,
58,"ice-beam","ice","90",10,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.","10","damage+ailment","freeze",,,,,0,0,0,10,0,0,"The target is struck with an icy-cold
beam of energy.
This may also leave the target frozen.",,,,
59,"blizzard","ice","110",5,"70",0,"all-opponents","special","Has a $effect_chance% chance to freeze the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.

During []{move:hail}, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of []{","10","damage+ailment","freeze",,,,,0,0,0,10,0,0,"A howling blizzard is summoned to strike
opposing Pokémon. This may also leave
the opposing Pokémon frozen.",,,,
60,"psybeam","psychic","65",20,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to confuse the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [confuse]{mechanic:confuse} the target.","10","damage+ailment","confusion",,,"2","5",0,0,0,10,0,0,"The target is attacked with a peculiar ray.
This may also leave the target confused.",,,,
61,"bubble-beam","water","65",20,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to lower the target's Speed by one stage.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to lower the target's [Speed]{mechanic:speed} by one [stage]{mechanic:stage}.","10","damage+lower","none",,,,,0,0,0,0,0,10,"A spray of bubbles is forcefully ejected
at the target. This may also lower
its Speed stat.","6",,,"-1"
62,"aurora-beam","ice","65",20,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to lower the target's Attack by one stage.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to lower the target's [Attack]{mechanic:attack} by one [stage]{mechanic:stage}.","10","damage+lower","none",,,,,0,0,0,0,0,10,"The target is hit with a rainbow-colored
beam. This may also lower the target’s
Attack stat.","2",,,"-1"
63,"hyper-beam","normal","150",5,"90",0,"selected-pokemon","special","User foregoes its next turn to recharge.","Inflicts [regular damage]{mechanic:regular-damage}.  User loses its next turn to ""recharge"", and cannot attack or [switch]{mechanic:switch} out during that turn.",,"damage","none",,,,,0,0,0,0,0,0,"The target is attacked with a powerful
beam. The user can’t move on the next turn.",,,,
64,"peck","flying","35",35,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is jabbed with a sharply
pointed beak or horn.",,,,
65,"drill-peck","flying","80",20,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"A corkscrewing attack with a
sharp beak acting as a drill.",,,,
66,"submission","fighting","80",20,"80",0,"selected-pokemon","physical","User receives 1/4 the damage it inflicts in recoil.","Inflicts [regular damage]{mechanic:regular-damage}.  User takes 1/4 the damage it inflicts in recoil.",,"damage","none",,,,,-25,0,0,0,0,0,"The user grabs the target and recklessly
dives for the ground. This also damages
the user a little.",,,,
67,"low-kick","fighting",,20,"100",0,"selected-pokemon","physical","Inflicts more damage to heavier targets, with a maximum of 120 power.","Inflicts [regular damage]{mechanic:regular-damage}.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60",,"damage","none",,,,,0,0,0,0,0,0,"A powerful low kick that makes the target
fall over. The heavier the target,
the greater the move’s power.",,,,
68,"counter","fighting",,20,"100",-5,"specific-move","physical","Inflicts twice the damage the user received from the last physical hit it took.","Targets the last opposing Pokémon to hit the user with a [physical]{mechanic:physical} move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will [fail]{mechanic:fail}.  Type immunity applies, bu",,"damage","none",,,,,0,0,0,0,0,0,"A retaliation move that counters any
physical attack, inflicting double the
damage taken.",,,,
69,"seismic-toss","fighting",,20,"100",0,"selected-pokemon","physical","Inflicts damage equal to the user's level.","Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",,"damage","none",,,,,0,0,0,0,0,0,"The target is thrown using the power of
gravity. It inflicts damage equal to
the user’s level.",,,,
70,"strength","normal","80",15,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is slugged with a punch thrown
at maximum power. This can also be used
to move heavy boulders.",,,,
71,"absorb","grass","20",25,"100",0,"selected-pokemon","special","Drains half the damage inflicted to heal the user.","Inflicts [regular damage]{mechanic:regular-damage}.  [Drains]{mechanic:drain} half the damage inflicted to heal the user.",,"damage+heal","none",,,,,50,0,0,0,0,0,"A nutrient-draining attack. The user’s
HP is restored by half the damage taken
by the target.",,,,
72,"mega-drain","grass","40",15,"100",0,"selected-pokemon","special","Drains half the damage inflicted to heal the user.","Inflicts [regular damage]{mechanic:regular-damage}.  [Drains]{mechanic:drain} half the damage inflicted to heal the user.",,"damage+heal","none",,,,,50,0,0,0,0,0,"A nutrient-draining attack. The user’s
HP is restored by half the damage taken
by the target.",,,,
73,"leech-seed","grass",,10,"90",0,"selected-pokemon","status","Seeds the target, stealing HP from it every turn.","Plants a seed on the target that [drains]{mechanic:drain} 1/8 of its max [HP]{mechanic:hp} at the end of every turn and heals the user for the amount taken.  Has no effect on []{type:grass} Pokémon.  The seed remains until the target leaves the field.

",,"ailment","leech-seed",,,,,0,0,0,0,0,0,"A seed is planted on the target. It steals
some HP from the target every turn.",,,,
74,"growth","normal",,20,,0,"user","status","Raises the user's Attack and Special Attack by one stage.","Raises the user's [Attack]{mechanic:attack} and [Special Attack]{mechanic:special-attack} by one [stage]{mechanic:stage} each.  During []{move:sunny-day}, raises both stats by two stages.",,"net-good-stats","none",,,,,0,0,0,0,0,0,"The user’s body grows all at once,
raising the Attack and Sp. Atk stats.","4",,,"1"
75,"razor-leaf","grass","55",25,"95",0,"all-opponents","physical","Has an increased chance for a critical hit.","Inflicts [regular damage]{mechanic:regular-damage}.  User's [critical hit]{mechanic:critical-hit} rate is one level higher when using this move.",,"damage","none",,,,,0,0,1,0,0,0,"Sharp-edged leaves are launched
to slash at the opposing Pokémon.
Critical hits land more easily.",,,,
76,"solar-beam","grass","120",10,"100",0,"selected-pokemon","special","Requires a turn to charge before attacking.","Inflicts [regular damage]{mechanic:regular-damage}.  User charges for one turn before attacking.

During []{move:sunny-day}, the charge turn is skipped.

During []{move:hail}, []{move:rain-dance}, or []{move:sandstorm}, power is halved.

This move c",,"damage","none",,,,,0,0,0,0,0,0,"A two-turn attack. The user gathers
light, then blasts a bundled beam on the
next turn.",,,,
77,"poison-powder","poison",,35,"75",0,"selected-pokemon","status","Poisons the target.","[Poisons]{mechanic:poisons} the target.",,"ailment","poison",,,,,0,0,0,0,0,0,"The user scatters a cloud of poisonous
dust on the target. This may also poison
the target.",,,,
78,"stun-spore","grass",,30,"75",0,"selected-pokemon","status","Paralyzes the target.","[Paralyzes]{mechanic:paralyzes} the target.",,"ailment","paralysis",,,,,0,0,0,0,0,0,"The user scatters a cloud of numbing
powder that paralyzes the target.",,,,
79,"sleep-powder","grass",,15,"75",0,"selected-pokemon","status","Puts the target to sleep.","Puts the target to [sleep]{mechanic:sleep}.",,"ailment","sleep",,,"2","4",0,0,0,0,0,0,"The user scatters a big cloud
of sleep-inducing dust
around the target.",,,,
80,"petal-dance","grass","120",10,"100",0,"random-opponent","special","Hits every turn for 2-3 turns, then confuses the user.","Inflicts [regular damage]{mechanic:regular-damage}.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes [confused]{mechanic:confused}.

[]{move:safeguard} does not protect against the [confu",,"damage","none",,,,,0,0,0,0,0,0,"The user attacks the target by scattering
petals for two to three turns.
The user then becomes confused.",,,,
