"id","identifier","species_id","height","weight","gender_rate","flavor_text"
17,"pidgeotto",17,11,300,4,"Pidgeotto claims a large area as its own territory. This
Pokémon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws."
18,"pidgeot",18,15,395,4,"This Pokémon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokémon."
19,"rattata",19,3,35,4,"Rattata is cautious in the extreme. Even while it is asleep,
it constantly listens by moving its ears around. It is not
picky about where it lives—it will make its nest anywhere."
20,"raticate",20,7,185,4,"Raticate’s sturdy fangs grow steadily. To keep them
ground down, it gnaws on rocks and logs. It may
even chew on the walls of houses."
21,"spearow",21,3,20,4,"Spearow has a very loud cry that can be heard over
half a mile away. If its high, keening cry is heard echoing all
around, it is a sign that they are warning each other of danger."
22,"fearow",22,12,380,4,"Fearow is recognized by its long neck and elongated beak.
They are conveniently shaped for catching prey in soil or
water. It deftly moves its long and skinny beak to pluck prey."
23,"ekans",23,20,69,4,"Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head."
24,"arbok",24,35,650,4,"This Pokémon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible."
25,"pikachu",25,4,60,4,"This Pokémon has electricity-storing pouches on its cheeks.
These appear to become electrically charged during the night
while Pikachu sleeps. It occasionally discharges electricity
when it is dozy after waking up."
26,"raichu",26,8,300,4,"This Pokémon exudes a weak electrical charge from all over
its body that makes it take on a slight glow in darkness.
Raichu plants its tail in the ground to discharge electricity."
27,"sandshrew",27,6,120,4,"Sandshrew has a very dry hide that is extremely tough.
The Pokémon can roll into a ball that repels any attack.
At night, it burrows into the desert sand to sleep."
28,"sandslash",28,10,295,4,"Sandslash can roll up its body as if it were a ball covered
with large spikes. In battle, this Pokémon will try to make
the foe flinch by jabbing it with its spines. It then leaps at
the stunned foe to tear wildly with its sharp claws."
29,"nidoran-f",29,4,70,8,"Nidoran♀ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokémon. When enraged, it releases
a horrible toxin from its horn."
30,"nidorina",30,8,200,8,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokémon appears to become nervous if separated
from the others."
31,"nidoqueen",31,13,600,8,"Nidoqueen’s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokémon is at its strongest when it is defending its young."
32,"nidoran-m",32,5,90,0,"Nidoran♂ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokémon’s notice."
33,"nidorino",33,9,195,0,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might."
34,"nidoking",34,14,620,0,"Nidoking’s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokémon goes on a rampage, there is no stopping it."
35,"clefairy",35,6,75,6,"On every night of a full moon, groups of this Pokémon
come out to play. When dawn arrives, the tired Clefairy
return to their quiet mountain retreats and go to sleep
nestled up against each other."
36,"clefable",36,13,400,6,"Clefable moves by skipping lightly as if it were flying using
its wings. Its bouncy step lets it even walk on water.
It is known to take strolls on lakes on quiet, moonlit nights."
37,"vulpix",37,6,99,6,"Inside Vulpix’s body burns a flame that never goes out.
During the daytime, when the temperatures rise, this
Pokémon releases flames from its mouth to prevent its
body from growing too hot."
38,"ninetales",38,11,199,6,"Legend has it that Ninetales came into being when
nine wizards possessing sacred powers merged into one.
This Pokémon is highly intelligent—it can understand
human speech."
39,"jigglypuff",39,5,55,6,"When this Pokémon sings, it never pauses to breathe.
If it is in a battle against an opponent that does not easily
fall asleep, Jigglypuff cannot breathe, endangering its life."
40,"wigglytuff",40,10,120,6,"Wigglytuff’s body is very flexible. By inhaling deeply,
this Pokémon can inflate itself seemingly without end.
Once inflated, Wigglytuff bounces along lightly like a balloon."
41,"zubat",41,8,75,4,"Zubat avoids sunlight because exposure causes it to become
unhealthy. During the daytime, it stays in caves or under
the eaves of old houses, sleeping while hanging upside down."
42,"golbat",42,16,550,4,"Golbat bites down on prey with its four fangs and drinks
the victim’s blood. It becomes active on inky dark
moonless nights, flying around to attack people and Pokémon."
43,"oddish",43,5,54,4,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokémon’s feet
are thought to change shape and become similar to the roots
of trees."
44,"gloom",44,8,86,4,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey."
45,"vileplume",45,12,186,4,"Vileplume has the world’s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokémon catches and devours them."
46,"paras",46,3,54,4,"Paras has parasitic mushrooms growing on its back called
tochukaso. They grow large by drawing nutrients from this
Bug Pokémon host. They are highly valued as a medicine
for extending life."
47,"parasect",47,10,295,4,"Parasect is known to infest large trees en masse and drain
nutrients from the lower trunk and roots. When an infested
tree dies, they move onto another tree all at once."
48,"venonat",48,10,300,4,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey."
49,"venomoth",49,15,125,4,"Venomoth is nocturnal—it is a Pokémon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness."
50,"diglett",50,2,8,4,"Diglett are raised in most farms. The reason is simple—
wherever this Pokémon burrows, the soil is left perfectly tilled
for planting crops. This soil is made ideal for growing
delicious vegetables."
51,"dugtrio",51,7,333,4,"Dugtrio are actually triplets that emerged from one body.
As a result, each triplet thinks exactly like the other two
triplets. They work cooperatively to burrow endlessly."
52,"meowth",52,4,42,4,"Meowth withdraws its sharp claws into its paws to slinkily sneak
about without making any incriminating footsteps. For some
reason, this Pokémon loves shiny coins that glitter with light."
53,"persian",53,10,320,4,"Persian has six bold whiskers that give it a look of toughness.
The whiskers sense air movements to determine what is in the
Pokémon’s surrounding vicinity. It becomes docile if grabbed
by the whiskers."
54,"psyduck",54,8,196,4,"If it uses its mysterious power, Psyduck can’t remember
having done so. It apparently can’t form a memory of such
an event because it goes into an altered state that is much
like deep sleep."
55,"golduck",55,17,766,4,"Golduck is the fastest swimmer among all Pokémon. It swims
effortlessly, even in a rough, stormy sea. It sometimes rescues
people from wrecked ships floundering in high seas."
56,"mankey",56,5,280,4,"When Mankey starts shaking and its nasal breathing turns
rough, it’s a sure sign that it is becoming angry. However,
because it goes into a towering rage almost instantly,
it is impossible for anyone to flee its wrath."
57,"primeape",57,10,320,4,"When Primeape becomes furious, its blood circulation
is boosted. In turn, its muscles are made even stronger.
However, it also becomes much less intelligent at the
same time."
58,"growlithe",58,7,190,2,"Growlithe has a superb sense of smell. Once it smells anything,
this Pokémon won’t forget the scent, no matter what. It uses
its advanced olfactory sense to determine the emotions of
other living things."
59,"arcanine",59,19,1550,2,"Arcanine is known for its high speed. It is said to be capable
of running over 6,200 miles in a single day and night. The
fire that blazes wildly within this Pokémon’s body is its source
of power."
60,"poliwag",60,6,124,4,"Poliwag has a very thin skin. It is possible to see the
Pokémon’s spiral innards right through the skin. Despite its
thinness, however, the skin is also very flexible. Even sharp
fangs bounce right off it."
61,"poliwhirl",61,10,200,4,"The surface of Poliwhirl’s body is always wet and slick with
a slimy fluid. Because of this slippery covering, it can easily
slip and slide out of the clutches of any enemy in battle."
62,"poliwrath",62,13,540,4,"Poliwrath’s highly developed, brawny muscles never grow
fatigued, however much it exercises. It is so tirelessly strong,
this Pokémon can swim back and forth across the ocean
without effort."
63,"abra",63,9,195,2,"Abra needs to sleep for eighteen hours a day. If it doesn’t,
this Pokémon loses its ability to use telekinetic powers. If it is
attacked, Abra escapes using Teleport while it is still sleeping."
64,"kadabra",64,13,565,2,"Kadabra holds a silver spoon in its hand. The spoon is used
to amplify the alpha waves in its brain. Without the spoon, the
Pokémon is said to be limited to half the usual amount of its
telekinetic powers."
65,"alakazam",65,15,480,2,"Alakazam’s brain continually grows, infinitely multiplying
brain cells. This amazing brain gives this Pokémon an
astoundingly high IQ of 5,000. It has a thorough memory
of everything that has occurred in the world."
66,"machop",66,8,195,2,"Machop exercises by hefting around a Graveler as if it were
a barbell. There are some Machop that travel the world in a
quest to master all kinds of martial arts."
67,"machoke",67,15,705,2,"Machoke undertakes bodybuilding every day even as
it helps people with tough, physically demanding labor.
On its days off, this Pokémon heads to the fields and
mountains to exercise and train."
68,"machamp",68,16,1300,2,"Machamp is known as the Pokémon that has mastered
every kind of martial arts. If it grabs hold of the foe with its
four arms, the battle is all but over. The hapless foe is thrown
far over the horizon."
69,"bellsprout",69,7,40,4,"Bellsprout’s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokémon spits a corrosive fluid that melts even iron."
70,"weepinbell",70,10,64,4,"Weepinbell has a large hook on its rear end. At night, the
Pokémon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground."
71,"victreebel",71,17,155,4,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokémon swallows it whole."
72,"tentacool",72,9,455,4,"Tentacool absorbs sunlight and refracts it using water inside
its body to convert it into beam energy. This Pokémon shoots
beams from the small round organ above its eyes."
73,"tentacruel",73,16,550,4,"Tentacruel has tentacles that can be freely elongated
and shortened at will. It ensnares prey with its tentacles
and weakens the prey by dosing it with a harsh toxin.
It can catch up to 80 prey at the same time."
74,"geodude",74,4,200,4,"When Geodude sleeps deeply, it buries itself halfway into the
ground. It will not awaken even if hikers step on it unwittingly.
In the morning, this Pokémon rolls downhill in search of food."
75,"graveler",75,10,1050,4,"Rocks are Graveler’s favorite food. This Pokémon will climb a
mountain from the base to the summit, crunchingly feasting on
rocks all the while. Upon reaching the peak, it rolls back down
to the bottom."
76,"golem",76,14,3000,4,"Golem is known for rolling down from mountains. To prevent
them from rolling into the homes of people downhill, grooves
have been dug into the sides of mountains to serve as
guideways for diverting this Pokémon’s course."
77,"ponyta",77,10,300,4,"Ponyta is very weak at birth. It can barely stand up.
This Pokémon becomes stronger by stumbling and
falling to keep up with its parent."
78,"rapidash",78,17,950,4,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokémon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph."
79,"slowpoke",79,12,360,4,"Slowpoke uses its tail to catch prey by dipping it in water
at the side of a river. However, this Pokémon often forgets
what it’s doing and often spends entire days just loafing
at water’s edge."
80,"slowbro",80,16,785,4,"Slowbro’s tail has a Shellder firmly attached with a bite.
As a result, the tail can’t be used for fishing anymore. This
causes Slowbro to grudgingly swim and catch prey instead."
81,"magnemite",81,3,60,-1,"Magnemite floats in the air by emitting electromagnetic waves
from the units at its sides. These waves block gravity. This
Pokémon becomes incapable of flight if its internal electrical
supply is depleted."
82,"magneton",82,10,600,-1,"Magneton emits a powerful magnetic force that is fatal to
electronics and precision instruments. Because of this, it is
said that some towns warn people to keep this Pokémon
inside a Poké Ball."
83,"farfetchd",83,8,150,4,"Farfetch’d is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokémon has been known to fight with others over stalks."
84,"doduo",84,14,392,4,"Doduo’s two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokémon possessing different sets of brains."
85,"dodrio",85,18,852,4,"Apparently, the heads aren’t the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest."
86,"seel",86,11,900,4,"Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head."
87,"dewgong",87,17,1200,4,"Dewgong loves to snooze on bitterly cold ice. The sight of
this Pokémon sleeping on a glacier was mistakenly thought
to be a mermaid by a mariner long ago."
88,"grimer",88,9,300,4,"Grimer emerged from the sludge that settled on a polluted
seabed. This Pokémon loves anything filthy. It constantly
leaks a horribly germ-infested fluid from all over its body."
89,"muk",89,12,300,4,"This Pokémon’s favorite food is anything that is repugnantly
filthy. In dirty towns where people think nothing of throwing
away litter on the streets, Muk are certain to gather."
90,"shellder",90,3,40,4,"At night, this Pokémon uses its broad tongue to burrow a hole
in the seafloor sand and then sleep in it. While it is sleeping,
Shellder closes its shell, but leaves its tongue hanging out."
91,"cloyster",91,15,1325,4,"Cloyster is capable of swimming in the sea. It does so by
swallowing water, then jetting it out toward the rear. This
Pokémon shoots spikes from its shell using the same system."
92,"gastly",92,13,1,4,"Gastly is largely composed of gaseous matter. When exposed
to a strong wind, the gaseous body quickly dwindles away.
Groups of this Pokémon cluster under the eaves of houses to
escape the ravages of wind."
93,"haunter",93,16,1,4,"Haunter is a dangerous Pokémon. If one beckons you while
floating in darkness, you must never approach it. This Pokémon
will try to lick you with its tongue and steal your life away."
94,"gengar",94,15,405,4,"Sometimes, on a dark night, your shadow thrown by a
streetlight will suddenly and startlingly overtake you.
It is actually a Gengar running past you, pretending to be
your shadow."
95,"onix",95,88,2100,4,"Onix has a magnet in its brain. It acts as a compass so that
this Pokémon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother."
96,"drowzee",96,10,324,4,"If your nose becomes itchy while you are sleeping, it’s a sure
sign that one of these Pokémon is standing above your pillow
and trying to eat your dream through your nostrils."
97,"hypno",97,16,756,4,"Hypno holds a pendulum in its hand. The arcing movement and
glitter of the pendulum lull the foe into a deep state of
hypnosis. While this Pokémon searches for prey, it polishes
the pendulum."
98,"krabby",98,4,65,4,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokémon can be seen squabbling with each other
over territory."
99,"kingler",99,13,600,4,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokémon quickly tires."
100,"voltorb",100,5,104,-1,"Voltorb is extremely sensitive—it explodes at the slightest
of shocks. It is rumored that it was first created when a
Poké Ball was exposed to a powerful pulse of energy."
101,"electrode",101,12,666,-1,"One of Electrode’s characteristics is its attraction to electricity.
It is a problematical Pokémon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated."
102,"exeggcute",102,4,25,4,"This Pokémon consists of six eggs that form a closely knit
cluster. The six eggs attract each other and spin around.
When cracks increasingly appear on the eggs, Exeggcute is
close to evolution."
103,"exeggutor",103,20,1200,4,"Exeggutor originally came from the tropics. Its heads
steadily grow larger from exposure to strong sunlight. It is
said that when the heads fall off, they group together to
form Exeggcute."
104,"cubone",104,4,65,4,"Cubone pines for the mother it will never see again. Seeing a
likeness of its mother in the full moon, it cries. The stains on
the skull the Pokémon wears are made by the tears it sheds."
105,"marowak",105,10,450,4,"Marowak is the evolved form of a Cubone that has overcome
its sadness at the loss of its mother and grown tough. This
Pokémon’s tempered and hardened spirit is not easily broken."
106,"hitmonlee",106,15,498,0,"Hitmonlee’s legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue."
107,"hitmonchan",107,14,502,0,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokémon
has an indomitable spirit and will never give up in the face
of adversity."
108,"lickitung",108,12,655,4,"Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things."
109,"koffing",109,6,10,4,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokémon."
110,"weezing",110,12,95,4,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokémon also
becomes more putrid."
111,"rhyhorn",111,10,1150,4,"Rhyhorn’s brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something."
112,"rhydon",112,19,1200,4,"Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokémon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat."
113,"chansey",113,11,346,8,"Chansey lays nutritionally excellent eggs on an everyday basis.
The eggs are so delicious, they are easily and eagerly
devoured by even those people who have lost their appetite."
114,"tangela",114,10,350,4,"Tangela’s vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day."
115,"kangaskhan",115,22,800,8,"If you come across a young Kangaskhan playing by itself,
you must never disturb it or attempt to catch it. The baby
Pokémon’s parent is sure to be in the area, and it will
become violently enraged at you."
116,"horsea",116,4,80,4,"If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokémon
swims by cleverly flapping the fin on its back."
117,"seadra",117,12,250,4,"Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokémon weakens prey with
these currents, then swallows it whole."
118,"goldeen",118,6,150,4,"Goldeen loves swimming wild and free in rivers and ponds.
If one of these Pokémon is placed in an aquarium, it will
shatter even the thickest glass with one ram of its horn
and make its escape."
119,"seaking",119,13,390,4,"Seaking is very protective of its eggs. The male and female
will take turns patrolling around their nest and eggs. The
guarding of eggs by these Pokémon goes on for over a month."
120,"staryu",120,8,345,-1,"Staryu apparently communicates with the stars in the night sky
by flashing the red core at the center of its body. If parts of its
body are torn, this Pokémon simply regenerates the missing
pieces and limbs."
121,"starmie",121,11,800,-1,"Starmie swims through water by spinning its star-shaped
body as if it were a propeller on a ship. The core at the
center of this Pokémon’s body glows in seven colors."
122,"mr-mime",122,13,545,4,"Mr. Mime is a master of pantomime. Its gestures and motions
convince watchers that something unseeable actually exists.
Once the watchers are convinced, the unseeable thing exists
as if it were real."
123,"scyther",123,15,560,4,"Scyther is blindingly fast. Its blazing speed enhances the
effectiveness of the twin scythes on its forearms. This
Pokémon’s scythes are so effective, they can slice through
thick logs in one wicked stroke."
124,"jynx",124,14,406,8,"Jynx walks rhythmically, swaying and shaking its hips
as if it were dancing. Its motions are so bouncingly alluring,
people seeing it are compelled to shake their hips without
giving any thought to what they are doing."
125,"electabuzz",125,11,300,2,"When a storm arrives, gangs of this Pokémon compete with
each other to scale heights that are likely to be stricken by
lightning bolts. Some towns use Electabuzz in place of
lightning rods."
126,"magmar",126,13,445,2,"In battle, Magmar blows out intensely hot flames from
all over its body to intimidate its opponent. This Pokémon’s
fiery bursts create heat waves that ignite grass and trees in
its surroundings."
127,"pinsir",127,15,550,4,"Pinsir has a pair of massive horns. Protruding from the surface
of these horns are thorns. These thorns are driven deeply into
the foe’s body when the pincer closes, making it tough for the
foe to escape."
128,"tauros",128,14,884,0,"This Pokémon is not satisfied unless it is rampaging at all
times. If there is no opponent for Tauros to battle, it will
charge at thick trees and knock them down to calm itself."
129,"magikarp",129,9,100,4,"Magikarp is virtually useless in battle as it can only splash
around. As a result, it is considered to be weak. However,
it is actually a very hardy Pokémon that can survive in any
body of water no matter how polluted it is."
130,"gyarados",130,65,2350,4,"Once Gyarados goes on a rampage, its ferociously violent
blood doesn’t calm until it has burned everything down.
There are records of this Pokémon’s rampages lasting a
whole month."
131,"lapras",131,25,2200,4,"People have driven Lapras almost to the point of extinction.
In the evenings, this Pokémon is said to sing plaintively as
it seeks what few others of its kind still remain."
132,"ditto",132,3,40,-1,"Ditto rearranges its cell structure to transform itself into other
shapes. However, if it tries to transform itself into something
by relying on its memory, this Pokémon manages to get
details wrong."
133,"eevee",133,3,65,1,"Eevee has an unstable genetic makeup that suddenly mutates
due to the environment in which it lives. Radiation from various
stones causes this Pokémon to evolve."
134,"vaporeon",134,10,290,1,"Vaporeon underwent a spontaneous mutation and grew fins
and gills that allow it to live underwater. This Pokémon has
the ability to freely control water."
136,"flareon",136,9,250,1,"Flareon’s fluffy fur has a functional purpose—it releases heat
into the air so that its body does not get excessively hot.
This Pokémon’s body temperature can rise to a maximum of
1,650 degrees Fahrenheit."
137,"porygon",137,8,365,-1,"Porygon is capable of reverting itself entirely back to program
data and entering cyberspace. This Pokémon is copy protected
so it cannot be duplicated by copying."
135,"jolteon",135,8,245,1,"Jolteon’s cells generate a low level of electricity. This power
is amplified by the static electricity of its fur, enabling the
Pokémon to drop thunderbolts. The bristling fur is made of
electrically charged needles."
138,"omanyte",138,4,75,1,"Omanyte is one of the ancient and long-since-extinct Pokémon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell."
139,"omastar",139,10,350,1,"Omastar uses its tentacles to capture its prey. It is
believed to have become extinct because its shell grew too
large and heavy, causing its movements to become too slow
and ponderous."
140,"kabuto",140,5,115,1,"Kabuto is a Pokémon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have
been discovered. The Pokémon has not changed at all for
300 million years."
141,"kabutops",141,13,405,1,"Kabutops swam underwater to hunt for its prey in ancient
times. The Pokémon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs."
142,"aerodactyl",142,18,590,1,"Aerodactyl is a Pokémon from the age of dinosaurs. It was
regenerated from genetic material extracted from amber. It is
imagined to have been the king of the skies in ancient times."
143,"snorlax",143,21,4600,1,"Snorlax’s typical day consists of nothing more than eating and
sleeping. It is such a docile Pokémon that there are children
who use its expansive belly as a place to play."
144,"articuno",144,17,554,-1,"Articuno is a legendary bird Pokémon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokémon flies, snow will fall."
145,"zapdos",145,16,526,-1,"Zapdos is a legendary bird Pokémon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokémon gains power if it is stricken by lightning bolts."
146,"moltres",146,20,600,-1,"Moltres is a legendary bird Pokémon that has the ability
to control fire. If this Pokémon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself."
147,"dratini",147,18,33,4,"Dratini continually molts and sloughs off its old skin. It does so
because the life energy within its body steadily builds to reach
uncontrollable levels."
148,"dragonair",148,40,165,4,"Dragonair stores an enormous amount of energy inside
its body. It is said to alter weather conditions in its vicinity
by discharging energy from the crystals on its neck and tail."
149,"dragonite",149,22,2100,4,"Dragonite is capable of circling the globe in just 16 hours.
It is a kindhearted Pokémon that leads lost and foundering
ships in a storm to the safety of land."
150,"mewtwo",150,20,1220,-1,"Mewtwo is a Pokémon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokémon’s body, they failed to
endow Mewtwo with a compassionate heart."
151,"mew",151,4,40,-1,"Mew is said to possess the genetic composition of all
Pokémon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people."
152,"chikorita",152,9,64,1,"In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokémon and creating a cozy,
friendly atmosphere all around."
153,"bayleef",153,12,158,1,"Bayleef’s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy."
154,"meganium",154,18,1005,1,"The fragrance of Meganium’s flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe’s fighting spirit."
155,"cyndaquil",155,5,79,1,"Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokémon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion."
156,"quilava",156,9,190,1,"Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokémon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames."
157,"typhlosion",157,17,795,1,"Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokémon creates
blazing explosive blasts that burn everything to cinders."
158,"totodile",158,6,95,1,"Despite the smallness of its body, Totodile’s jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury."
159,"croconaw",159,11,250,1,"Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in."
160,"feraligatr",160,23,888,1,"Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed."
161,"sentret",161,8,60,4,"When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokémon becomes separated from its pack, it becomes
incapable of sleep due to fear."
162,"furret",162,18,325,4,"Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokémon is very nimble and fleet."
163,"hoothoot",163,7,212,4,"Hoothoot has an internal organ that senses and tracks the
earth’s rotation. Using this special organ, this Pokémon
begins hooting at precisely the same time every day."
164,"noctowl",164,16,408,4,"Noctowl never fails at catching prey in darkness. This Pokémon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight."
165,"ledyba",165,10,108,4,"Ledyba secretes an aromatic fluid from where its legs join its
body. This fluid is used for communicating with others.
This Pokémon conveys its feelings to others by altering the
fluid’s scent."
